whales; massachusetts; shipping; watched; scientists
chryslers; gms; targets; automaker; ford
chuns; rohs; sentenced; tycoons; kwangju
bruscas; mafias; bosses; magistrates; turncoats
kevorkians; currens; suicide; fieger; medical
rouge; khmer; ieng; sary; pots
online; compuserve; service; internet; europe
pilgrims; caved; hindus; trekked; kashmirs
meris; estonias; voted; parliaments; ruutels
serbs; osce; bosnias; bosnians; elected
lloyds; names; investors; equitas; injunction
machados; pageants; missing; university; beautiful
banisadrs; irans; iranians; berlins; tehrans
rice; tonnes; chinas; grains; fired
apartheids; ancs; klerks; des; commission
nuclear; treaty; indias; disarmament; tests
students; koreas; koreans; norths; souths
teresas; mothers; nuns; hearts; calcuttas
refugees; rwandans; burundis; hutus; rwandas
nigerias; commonwealth; cmag; rights; visited
party; simitis; elected; unitas; socialists
iraqs; kurdish; iraqis; kdps; irans
immigrants; churches; protesters; africans; hunger
cubans; cubas; planes; hijackings; airlines
israels; syrias; israeli; netanyahus; palestinians
ratings; percent; markets; cutting; banking
dutrouxs; girls; belgians; police; child
taiwans; chinas; ukraine; liens; beijing
clintons; doles; republicans; convention; democratic
lebed; russians; yeltsins; chechnyas; grozny
aug; cypriots; marred; koreans; stormed
hurricane; edouards; mph; stormed; tropical
pe; fondness; com; avis; drafted
farrakhans; libyas; libyans; gaddafis; treasury
albanians; kosovos; serbian; students; serbias
croats; bosnas; herceg; bosnias; croatias
burundis; hutus; nyerere; buyoyas; coups
dianas; charles; divorce; parker; bowles
splas; sudans; missionaries; nuns; mapourdit
okinawas; japans; courts; otas; party
eprs; mexicos; rebels; mexicans; attacks
philippines; peace; moslems; misuaris; mindanaos
childs; childrens; sexes; pornography; sexually
crashed; russians; mines; norwegians; spitzbergen
biests; der; vans; cooling; belgians
slds; buchaczs; psls; peasants; coalition
wijdenboschs; bouterse; venetiaans; surinams; ndp
popes; jacksons; prague; concerted; hungary
maos; chinas; zedongs; chinese; revolution
taiwans; chinas; beijing; changed; visited
talebans; kabuls; afghans; azra; sarobi
turkey; turkish; pkks; iraqs; borders
iraqs; iraqis; saddams; missile; zones
shuttle; atlantis; mir; lucids; spaces
shakurs; vegas; rapped; las; knighted
serra; aznars; basques; contracts; mundo
oasis; liams; bands; touring; beatles
iras; irish; brutons; feins; irelands
banharns; thais; coalition; debate; charting
murtazas; bhuttos; benazirs; karachis; police
raos; congresses; party; sukh; ramming
terpetrosyans; manukyans; meris; voted; armenians
drugs; sampers; colombias; agnews; heroine
lebed; chechnyas; chechens; russians; chernomyrdins
nicus; ceausescus; romanians; viennas; fathers
percents; ratings; augusts; sales; quarters
talebans; kabuls; afghanistans; najibullahs; afghans
kyis; suu; nlds; burmas; slorcs
arafats; summits; mubaraks; netanyahus; washingtons
immigrants; bills; house; republicans; provisions
des; pe; par; las; ete
prizes; szymborskas; poets; awarded; nobel
glaciers; icelandic; erupted; volcanoes; flooded
bandidos; hells; gangs; angeles; bikers
christopher; africans; africas; malis; burundis
cypriots; turkish; greeks; cyprus; buffered
somalis; aideed; somalias; mogadishus; mahdis
handguns; guns; dunblane; banned; clubbed
alemans; ortegas; sandinistas; nicaraguas; somozas
fiszmans; fiszmanns; police; frankfurter; kidnapped
oc; polls; zogby; percents; sample
jewell; fbis; olympic; atlantas; bombing
prisoner; inmates; guarded; jailed; venezuelas
hernus; mitterrands; frenchs; lexpress; secretive
mcis; bts; corps; mergers; telecoms
iliescus; romanias; constantinescus; pdsrs; cdrs
police; oct; bombing; killed; suicide
marijuanas; drugs; measures; californias; medical
christopher; secretary; clintons; perry; whites
clintons; electorate; bushs; voted; reelection
mori; galls; feb; oct; sep
lukashenkos; belarus; referendums; parliaments; constitutional
abkhazias; georgians; abkhaz; georgias; tbilisi
boutrosghalis; vetoed; africans; candidate; secretarygeneral
ethiopians; planes; hijackings; airlines; crashed
story; dbs; alpha; ares; marred
fokkers; dutch; samsungs; guilders; aerospace
gifts; buy; giving; shopping; nov
bahrains; qatars; qataris; gulfs; spying
aiding; hiv; infected; condoms; disease
